Name;Slack;Levels;High Fanout;From;To;Total Delay;Logic Delay;Net Delay;Requirement;Source Clock;Destination Clock;Exception;Clock Uncertainty
Path 21;-3,16;32;52;i_system_wrapper/system_i/lte_phy_processing_0/inst/u_system_lte_bd/u_lte_pss_detector/u_lte_phy_pss_corr/gen_corr_lane[1].gen_corr_pss[1].corr_im_reg[1][1][47]/C;i_system_wrapper/system_i/lte_phy_processing_0/inst/u_system_lte_bd/u_lte_pss_detector/u_lte_phy_pss_corr/gen_lane_result[1].lane_result_mag_reg[1][48]/D;11,08;7,27;3,82;8,00;clk_div_sel_1_s;clk_div_sel_1_s;;0,04
Path 22;-3,15;31;52;i_system_wrapper/system_i/lte_phy_processing_0/inst/u_system_lte_bd/u_lte_pss_detector/u_lte_phy_pss_corr/gen_corr_lane[1].gen_corr_pss[1].corr_im_reg[1][1][47]/C;i_system_wrapper/system_i/lte_phy_processing_0/inst/u_system_lte_bd/u_lte_pss_detector/u_lte_phy_pss_corr/gen_lane_result[1].lane_result_mag_reg[1][45]/D;11,07;7,25;3,82;8,00;clk_div_sel_1_s;clk_div_sel_1_s;;0,04
Path 23;-3,14;31;52;i_system_wrapper/system_i/lte_phy_processing_0/inst/u_system_lte_bd/u_lte_pss_detector/u_lte_phy_pss_corr/gen_corr_lane[1].gen_corr_pss[1].corr_im_reg[1][1][47]/C;i_system_wrapper/system_i/lte_phy_processing_0/inst/u_system_lte_bd/u_lte_pss_detector/u_lte_phy_pss_corr/gen_lane_result[1].lane_result_mag_reg[1][47]/D;11,06;7,25;3,82;8,00;clk_div_sel_1_s;clk_div_sel_1_s;;0,04
Path 24;-3,10;31;51;i_system_wrapper/system_i/lte_phy_processing_0/inst/u_system_lte_bd/u_lte_pss_detector/u_lte_phy_pss_corr/gen_corr_lane[0].gen_corr_pss[0].corr_im_reg[0][0][47]/C;i_system_wrapper/system_i/lte_phy_processing_0/inst/u_system_lte_bd/u_lte_pss_detector/u_lte_phy_pss_corr/gen_lane_result[0].lane_result_mag_reg[0][48]/D;11,05;6,91;4,14;8,00;clk_div_sel_1_s;clk_div_sel_1_s;;0,04
Path 25;-3,09;30;51;i_system_wrapper/system_i/lte_phy_processing_0/inst/u_system_lte_bd/u_lte_pss_detector/u_lte_phy_pss_corr/gen_corr_lane[0].gen_corr_pss[0].corr_im_reg[0][0][47]/C;i_system_wrapper/system_i/lte_phy_processing_0/inst/u_system_lte_bd/u_lte_pss_detector/u_lte_phy_pss_corr/gen_lane_result[0].lane_result_mag_reg[0][45]/D;11,05;6,91;4,14;8,00;clk_div_sel_1_s;clk_div_sel_1_s;;0,04
Path 26;-3,07;30;51;i_system_wrapper/system_i/lte_phy_processing_0/inst/u_system_lte_bd/u_lte_pss_detector/u_lte_phy_pss_corr/gen_corr_lane[0].gen_corr_pss[0].corr_im_reg[0][0][47]/C;i_system_wrapper/system_i/lte_phy_processing_0/inst/u_system_lte_bd/u_lte_pss_detector/u_lte_phy_pss_corr/gen_lane_result[0].lane_result_mag_reg[0][47]/D;11,03;6,89;4,14;8,00;clk_div_sel_1_s;clk_div_sel_1_s;;0,04
Path 27;-3,07;31;52;i_system_wrapper/system_i/lte_phy_processing_0/inst/u_system_lte_bd/u_lte_pss_detector/u_lte_phy_pss_corr/gen_corr_lane[1].gen_corr_pss[1].corr_im_reg[1][1][47]/C;i_system_wrapper/system_i/lte_phy_processing_0/inst/u_system_lte_bd/u_lte_pss_detector/u_lte_phy_pss_corr/gen_lane_result[1].lane_result_mag_reg[1][46]/D;10,99;7,17;3,82;8,00;clk_div_sel_1_s;clk_div_sel_1_s;;0,04
Path 28;-3,05;31;52;i_system_wrapper/system_i/lte_phy_processing_0/inst/u_system_lte_bd/u_lte_pss_detector/u_lte_phy_pss_corr/gen_corr_lane[1].gen_corr_pss[1].corr_im_reg[1][1][47]/C;i_system_wrapper/system_i/lte_phy_processing_0/inst/u_system_lte_bd/u_lte_pss_detector/u_lte_phy_pss_corr/gen_lane_result[1].lane_result_mag_reg[1][44]/D;10,97;7,15;3,82;8,00;clk_div_sel_1_s;clk_div_sel_1_s;;0,04
Path 29;-3,03;30;52;i_system_wrapper/system_i/lte_phy_processing_0/inst/u_system_lte_bd/u_lte_pss_detector/u_lte_phy_pss_corr/gen_corr_lane[1].gen_corr_pss[1].corr_im_reg[1][1][47]/C;i_system_wrapper/system_i/lte_phy_processing_0/inst/u_system_lte_bd/u_lte_pss_detector/u_lte_phy_pss_corr/gen_lane_result[1].lane_result_mag_reg[1][41]/D;10,95;7,14;3,82;8,00;clk_div_sel_1_s;clk_div_sel_1_s;;0,04
Path 30;-3,02;30;52;i_system_wrapper/system_i/lte_phy_processing_0/inst/u_system_lte_bd/u_lte_pss_detector/u_lte_phy_pss_corr/gen_corr_lane[1].gen_corr_pss[1].corr_im_reg[1][1][47]/C;i_system_wrapper/system_i/lte_phy_processing_0/inst/u_system_lte_bd/u_lte_pss_detector/u_lte_phy_pss_corr/gen_lane_result[1].lane_result_mag_reg[1][43]/D;10,95;7,13;3,82;8,00;clk_div_sel_1_s;clk_div_sel_1_s;;0,04
